company;title;totalyearlycompensation;location;yearsofexperience;yearsatcompany;gender;Education
Microsoft;Software Engineer;227000;Seattle, WA;6;0;Male;Master's Degree
Google;Hardware Engineer;333000;Mountain View, CA;16;2;Male;Master's Degree
Amazon;Software Engineering Manager;275000;Vancouver, BC, Canada;19;0;Male;Master's Degree
Goldman Sachs;Software Engineer;83000;Bangalore, KA, India;10;1;Male;Master's Degree
Facebook;Software Engineer;560000;New York, NY;10;3;Male;Master's Degree
Oracle;Software Engineer;245000;Santa Clara, CA;2;1;Male;Master's Degree
Apple;Software Engineer;200000;Cupertino, CA;0;0;Male;Master's Degree
Facebook;Software Engineer;275000;London, EN, United Kingdom;10;1;Male;PhD
Microsoft;Software Engineer;187000;Redmond, WA;3;0;Male;Master's Degree
Google;Software Engineer;368000;San Francisco, CA;15;11;Male;Master's Degree
Google;Software Engineer;247000;Los Angeles, CA;3;3;Male;Master's Degree
Amazon;Software Engineer;200000;Seattle, WA;3;3;Male;Master's Degree
Google;Software Engineer;305000;Sunnyvale, CA;3;3;Female;Master's Degree
Wayfair;Software Engineering Manager;290000;Boston, MA;7;1;Male;Master's Degree
Salesforce;Software Engineer;328000;San Francisco, CA;13;0;Male;Master's Degree
Google;Software Engineer;225000;Sunnyvale, CA;2;0;Male;Master's Degree
Uber;Software Engineer;258000;Palo Alto, CA;2;0;Male;Master's Degree
Salesforce;Software Engineer;245000;San Francisco, CA;2;0;Male;Master's Degree
Apple;Software Engineer;250000;Cupertino, CA;4;1;Female;Master's Degree
Google;Software Engineer;307000;New York, NY;7;4;Male;Master's Degree
Adobe;Software Engineer;262000;San Jose, CA;6;1;Male;Master's Degree
Facebook;Software Engineer;330000;San Francisco, CA;6;4.5;Male;Master's Degree
Salesforce;Software Engineer;333000;Seattle, WA;11;7;Male;Master's Degree
Apple;Software Engineer;280000;Cupertino, CA;10;3;Male;Master's Degree
Uber;Software Engineer;245000;Seattle, WA;4;2;Male;Master's Degree
Microsoft;Software Engineer;140000;Redmond, WA;4;3;Female;Master's Degree
Apple;Software Engineer;260000;Cupertino, CA;8;1;Male;PhD
Amazon;Software Engineer;96000;London, EN, United Kingdom;3;3;Male;Master's Degree
Nvidia;Hardware Engineer;271000;Santa Clara, CA;10;10;Male;Master's Degree
Google;Software Engineer;180000;Los Angeles, CA;4;2;Male;Master's Degree
Oracle;Software Engineer;245000;Santa Clara, CA;4;0;Male;Master's Degree
Salesforce;Software Engineer;201000;New York, NY;8;3;Male;Master's Degree
Facebook;Software Engineer;400000;Menlo Park, CA;11;2;Female;Master's Degree
Amazon;Software Engineer;195000;Seattle, WA;3;1.5;Male;Master's Degree
Microsoft;Software Engineer;168000;Redmond, WA;2;0;Male;Master's Degree
Amazon;Software Engineer;132000;Seattle, WA;1;0;Female;Master's Degree
Google;Software Engineer;323000;Palo Alto, CA;8;5;Male;Master's Degree
Capital One;Software Engineer;160000;Washington, DC;12;1;Male;Master's Degree
Apple;Hardware Engineer;200000;Cupertino, CA;6;0;Male;Master's Degree
Bloomberg;Software Engineer;230000;New York, NY;9;9;Male;Master's Degree
Intel;Hardware Engineer;220000;Santa Clara, CA;8;8;Male;Master's Degree
Facebook;Data Scientist;230000;Seattle, WA;10;1;Male;Master's Degree
eBay;Product Manager;247000;San Jose, CA;10;1;Female;Master's Degree
Amazon;Software Engineer;300000;Seattle, WA;5;5;Male;Master's Degree
Google;Software Engineer;277000;Mountain View, CA;8;1;Male;Master's Degree
Amazon;Software Engineer;149000;Seattle, WA;0;0;Male;Master's Degree
Walmart Labs;Software Engineer;280000;Sunnyvale, CA;8;3;Male;Master's Degree
Google;Software Engineering Manager;676000;Mountain View, CA;12;9;Male;PhD
Microsoft;Data Scientist;173000;Bellevue, WA;0;0;Female;PhD
Apple;Hardware Engineer;300000;Cupertino, CA;10;2;Male;Master's Degree
Google;Software Engineer;367000;New York, NY;5;5;Male;Master's Degree
Amazon;Software Engineer;355000;Sunnyvale, CA;10;4;Male;Master's Degree
Apple;Software Engineer;380000;Cupertino, CA;10;3;Male;Master's Degree
Qualcomm;Software Engineer;200000;San Diego, CA;7;7;Male;Master's Degree
VMware;Software Engineer;183000;Palo Alto, CA;3;3;Male;Master's Degree
Amazon;Software Engineer;290000;Sunnyvale, CA;8;7;Male;Master's Degree
Facebook;Software Engineer;195000;Menlo Park, CA;3;1;Female;Master's Degree
Microsoft;Product Manager;265000;Redmond, WA;15;12;Female;Master's Degree
Apple;Software Engineer;218000;Cupertino, CA;0;0;Female;PhD
Walmart Labs;Software Engineer;240000;Sunnyvale, CA;7;7;Male;Master's Degree
Amazon;Software Engineer;193000;Seattle, WA;1;0;Male;Master's Degree
IBM;Solution Architect;195000;San Francisco, CA;10;8;Male;Master's Degree
Bloomberg;Software Engineer;150000;New York, NY;1;0;Male;Master's Degree
Google;Software Engineer;313000;Mountain View, CA;3;3;Male;Master's Degree
Facebook;Software Engineer;140000;London, EN, United Kingdom;1;0;Male;Master's Degree
Google;Product Designer;309000;San Francisco, CA;6;3;Male;Master's Degree
Apple;Data Scientist;208000;Cupertino, CA;0;0;Male;PhD
Amazon;Software Engineer;200000;New York, NY;4;0;Female;Master's Degree
Capital One;Data Scientist;148000;New York, NY;1;0;Male;Master's Degree
Google;Software Engineer;315000;Los Angeles, CA;6;5;Male;Master's Degree
Qualcomm;Software Engineer;225000;San Diego, CA;15;0;Male;Master's Degree
Salesforce;Software Engineer;171000;Bellevue, WA;3;0;Female;Master's Degree
Amazon;Software Engineer;148000;Seattle, WA;0;0;Male;Master's Degree
Salesforce;Software Engineer;250000;San Francisco, CA;12;4;Female;Master's Degree
Google;Software Engineer;301000;Seattle, WA;8;0;Male;Master's Degree
Uber;Software Engineer;480000;San Francisco, CA;9;3;Male;Master's Degree
Oracle;Software Engineer;400000;Seattle, WA;11;3;Male;Master's Degree
Amazon;Software Engineer;189000;Seattle, WA;2;2;Male;Master's Degree
Amazon;Software Engineer;294000;Seattle, WA;7;6;Male;Master's Degree
Oracle;Product Manager;250000;San Francisco, CA;15;5;Male;Master's Degree
Google;Software Engineer;261000;New York, NY;5;4;Male;Master's Degree
Uber;Software Engineer;301000;San Francisco, CA;8;1;Male;Master's Degree
Microsoft;Data Scientist;203000;Redmond, WA;3;2;Female;PhD
Wayfair;Product Designer;109000;Boston, MA;4;1;Female;Master's Degree
Amazon;Software Engineer;200000;Austin, TX;3;3;Male;Master's Degree
Goldman Sachs;Software Engineer;270000;New York, NY;9;7;Male;Master's Degree
Amazon;Software Engineering Manager;500000;Boston, MA;22;2;Female;Master's Degree
Cisco;Software Engineer;175000;San Jose, CA;8;2;Male;Master's Degree
Intuit;Software Engineer;175000;Mountain View, CA;2;2;Female;Master's Degree
Microsoft;Software Engineer;160000;Seattle, WA;0;0;Male;Master's Degree
Microsoft;Product Designer;134000;Vancouver, BC, Canada;7;3;Male;Master's Degree
Amazon;Software Engineer;500000;Seattle, WA;15;0;Male;PhD
Amazon;Software Engineer;225000;Boston, MA;5;2;Male;Master's Degree
VMware;Software Engineer;242000;Palo Alto, CA;9;3;Male;Master's Degree
Google;Software Engineer;191000;Mountain View, CA;0;0;Male;Master's Degree
PayPal;Data Scientist;190000;Chicago, IL;5;1;Male;Master's Degree
Oracle;Software Engineer;252000;Seattle, WA;3;0;Male;Master's Degree
Bloomberg;Software Engineer;275000;New York, NY;4;4;Male;Master's Degree
Oracle;Software Engineer;340000;Seattle, WA;8;1;Male;Master's Degree
Oracle;Software Engineering Manager;700000;Seattle, WA;15;4;Male;Master's Degree
Qualcomm;Software Engineer;142000;San Diego, CA;5;5;Male;Master's Degree
Amazon;Software Engineer;230000;Seattle, WA;6;4;Male;Master's Degree
Qualcomm;Software Engineer;160000;San Diego, CA;3;3;Male;Master's Degree
Intuit;Data Scientist;215000;Mountain View, CA;5;2;Male;Master's Degree
Amazon;Software Engineer;300000;Seattle, WA;23;14;Male;Master's Degree
Microsoft;Software Engineering Manager;260000;Seattle, WA;10;8;Male;Master's Degree
Google;Software Engineer;296000;Sunnyvale, CA;8;5;Male;PhD
Microsoft;Software Engineering Manager;486000;Redmond, WA;35;15;Male;Master's Degree
Salesforce;Software Engineer;330000;San Francisco, CA;13;4;Male;Master's Degree
Microsoft;Software Engineer;250000;Bellevue, WA;6;6;Male;Master's Degree
Microsoft;Software Engineer;183000;Seattle, WA;2;0;Male;Master's Degree
Google;Software Engineer;185000;Los Angeles, CA;1;1;Male;Master's Degree
Amazon;Software Engineer;228000;Palo Alto, CA;8;5;Male;Master's Degree
Apple;Hardware Engineer;210000;Austin, TX;6;6;Male;Master's Degree
Microsoft;Software Engineer;174000;Redmond, WA;4;3;Male;Master's Degree
Uber;Software Engineer;216000;San Francisco, CA;4;4;Female;Master's Degree
