company,title,totalyearlycompensation,location,yearsofexperience,yearsatcompany,gender,Education
Amazon,Product Manager,169000,"Seattle, WA",8,3,Male,Master's Degree
Oracle,Software Engineer,178000,"Santa Clara, CA",2,2,Female,Master's Degree
Wayfair,Product Manager,235000,"Boston, MA",13,0,Male,Master's Degree
Amazon,Software Engineer,149000,"Seattle, WA",2,2,Female,Master's Degree
Google,Software Engineer,217000,"Mountain View, CA",0,0,Male,Master's Degree
Apple,Product Manager,510000,"Cupertino, CA",15,12,Male,Master's Degree
Nvidia,Hardware Engineer,490000,"Santa Clara, CA",25,18,Male,Master's Degree
Amazon,Product Designer,350000,"Seattle, WA",14,1,Female,PhD
Uber,Data Scientist,366000,"San Francisco, CA",10,2.5,Male,Master's Degree
Facebook,Software Engineer,264000,"Menlo Park, CA",0,0,Female,PhD
SAP,Software Engineer,152000,"Palo Alto, CA",2,2,Male,Master's Degree
Amazon,Software Engineer,87000,"London, EN, United Kingdom",3,0,Male,Master's Degree
Amazon,Product Manager,208000,"Seattle, WA",10,4,Male,Master's Degree
Uber,Software Engineer,274000,"Seattle, WA",4,0,Male,
Oracle,Software Engineer,220000,"Santa Clara, CA",4,0,Male,Master's Degree
Google,Software Engineer,243000,"Los Angeles, CA",2,2,Male,PhD
Microsoft,Software Engineer,205000,"Redmond, WA",4,0,Male,Master's Degree
Oracle,Software Engineer,200000,"Redwood City, CA",13,5,Male,Master's Degree
Oracle,Software Engineer,180000,"San Jose, CA",8,4,NA,Master's Degree
Uber,Product Designer,170000,"San Francisco, CA",3,1,Female,Master's Degree
Microsoft,Software Engineer,227000,"Seattle, WA",6,0,Male,Master's Degree
Google,Hardware Engineer,333000,"Mountain View, CA",16,2,Male,Master's Degree
Amazon,Software Engineering Manager,275000,"Vancouver, BC, Canada",19,0,Male,Master's Degree
Goldman Sachs,Software Engineer,83000,"Bengaluru, KA, India",10,1,Male,Master's Degree
Facebook,Software Engineer,560000,"New York, NY",10,3,Male,Master's Degree
Amazon,Software Engineer,156000,"Herndon, VA",1,0,Male,Master's Degree
Google,Software Engineer,350000,"London, EN, United Kingdom",9,4,NA,Master's Degree
Google,Software Engineer,308000,"Boulder, CO",20,13,Male,PhD
Oracle,Software Engineer,245000,"Santa Clara, CA",2,1,Male,Master's Degree
IBM,Software Engineer,105000,"Poughkeepsie, NY",2,2,Female,Master's Degree
Apple,Software Engineer,200000,"Cupertino, CA",0,0,Male,Master's Degree
Facebook,Software Engineer,275000,"London, EN, United Kingdom",10,1,Male,PhD
Microsoft,Software Engineer,187000,"Redmond, WA",3,0,Male,Master's Degree
Google,Software Engineer,368000,"San Francisco, CA",15,11,Male,Master's Degree
Google,Software Engineer,247000,"Los Angeles, CA",3,3,Male,Master's Degree
Google,Software Engineer,278000,"Stockholm, ST, Sweden",12,9,Male,Master's Degree
Amazon,Software Engineer,200000,"Seattle, WA",3,3,Male,Master's Degree
Google,Software Engineer,305000,"Sunnyvale, CA",3,3,Female,Master's Degree
Wayfair,Software Engineering Manager,290000,"Boston, MA",7,1,Male,Master's Degree
Salesforce,Software Engineer,328000,"San Francisco, CA",13,0,Male,Master's Degree
Google,Software Engineer,225000,"Sunnyvale, CA",2,0,Male,Master's Degree
Uber,Software Engineer,258000,"Palo Alto, CA",2,0,Male,Master's Degree
Salesforce,Software Engineer,245000,"San Francisco, CA",2,0,Male,Master's Degree
